EdgeType,Category,P_Prerequisites,D_Detectability,C_Complexity,R_Reliability,R_Star,Weight_MAUT,Technique,Description
MemberOf,Structural / Identity,1,1,1,5,1,1.0,Native Active Directory Group Membership,"Quan hệ thành viên nhóm tĩnh trong AD. Khai thác tự nhiên, không cần điều kiện, không sinh log bất thường, độ tin cậy 100%."
PrimaryGroupMemberOf,Structural / Identity,1,1,1,5,1,1.0,Primary Group Membership (RID matching),Nhóm chính của tài khoản (mặc định Domain Users/Domain Computers). Hoàn toàn tự nhiên và thụ động.
Owns,Active Directory ACL,1,2,1,5,1,1.4,Pre-existing Object Ownership,"Đã là Owner của đối tượng, có quyền tự thêm WriteDacl mà không cần leo thang thêm."
AdminTo,Host Access / Privilege,2,2,1,5,1,1.65,Local Administrator Rights on Target Machine,Quyền Local Admin trên host đích. Cho phép thực thi lệnh mức SYSTEM hoặc dump credentials (sinh Event 4624/4672).
GenericAll,Active Directory ACL,2,2,2,5,1,1.85,"Full Object Control (Modify DACL, Reset Password, SPN, etc.)",Toàn quyền kiểm soát đối tượng. Cho phép gán thêm quyền hoặc đổi thuộc tính qua LDAP. Độ tin cậy tuyệt đối.
AllExtendedRights,Active Directory ACL,2,3,2,5,1,2.25,"Extended AD Rights (Password Reset, Replicating, etc.)","Tập hợp tất cả Extended Rights trên đối tượng (bao gồm User-Force-Change-Password nếu trên User, hoặc DCSync nếu trên Domain)."
CanPSRemote,Lateral Movement,2,3,2,5,1,2.25,WinRM / PowerShell Remoting (Port 5985/5986),Thực thi PowerShell qua WinRM. Sinh Event 4104 (Script Block Logging) và Network Logon 4624 Type 3.
WriteDacl,Active Directory ACL,2,3,2,5,1,2.25,Modify Discretionary Access Control List (DACL),Sửa DACL để tự cấp GenericAll cho tài khoản của mình. Sinh Event 5136 (Directory Service Object Modified).
WriteOwner,Active Directory ACL,2,3,2,5,1,2.25,Take Ownership of AD Object,"Cướp quyền sở hữu đối tượng AD (Owner). Sau khi chiếm Owner, tiến hành sửa DACL -> GenericAll. Sinh Event 5136."
GenericWrite,Active Directory ACL,2,3,2,5,1,2.25,Arbitrary Attribute Modification,Ghi thuộc tính tùy ý. Tùy thuộc đối tượng (nếu là GPO thì sửa cấu hình/script; nếu là User thì gán SPN để Kerberoast hoặc msDS-AllowedToDelegateTo).
AllowedToDelegate,Kerberos Abuse,3,2,3,5,1,2.3,Kerberos Constrained Delegation (S4U2self + S4U2proxy),"Ủy thác Kerberos có ràng buộc. Tài khoản máy/dịch vụ dùng S4U2self xin vé thay mặt Domain Admin và dùng S4U2proxy truy cập dịch vụ trên máy đích. Cực kỳ tin cậy, log TGS-REQ bình thường khó phân biệt."
Enroll,AD CS Abuse,2,2,4,4,2,2.4,AD Certificate Services Template Enrollment (ESC1 - ESC8),Yêu cầu cấp chứng chỉ số từ template có lỗ hổng cấu hình (ví dụ ESC1: SAN giả mạo Domain Admin). Cần CA đang hoạt động và thẩm tra chứng chỉ.
CanRDP,Lateral Movement,2,3,2,4,2,2.4,Remote Desktop Protocol Logon (Port 3389),Đăng nhập RDP vào máy chủ. Sinh Event 4624 Type 10 và RDS session log. Phụ thuộc firewall và service RDP đang chạy.
ExecuteDCOM,Lateral Movement,2,3,3,4,2,2.6,Distributed COM Object Execution (Port 135/RPC),"Khởi tạo DCOM object (e.g. MMC20.Application, ShellWindows) để thực thi lệnh từ xa. Cần RPC port và DCOM permissions."
GetChangesAll,Domain Escalation,2,4,2,5,1,2.65,DCSync Attack (MS-DRSR Domain Replication),"Tấn công DCSync giả lập Domain Controller kéo hash mật khẩu của mọi user từ xa qua giao thức DRSR. Cực kỳ nhanh, tin cậy tuyệt đối, nhưng sinh Event 4662 bị EDR/SOC giám sát gắt gao."
ManageCertificates,AD CS Abuse,3,3,3,5,1,2.7,Certificate Officer Rights (Issue Failed/Pending Requests),Quyền Officer cho phép duyệt phát hành các yêu cầu chứng chỉ đang pending (ESC7 part 2).
ManageCA,AD CS Abuse,3,3,4,5,1,2.9,Active Directory Certificate Services CA Full Control,Quyền quản trị CA server (ESC7). Cho phép bật cờ cấu hình nguy hiểm hoặc cấp duyệt certificate bất kỳ.
GPLink,Group Policy Abuse,3,3,3,3,3,3.0,GPO Deployment to Linked Container/Host (Immediate Task/Script),"Liên kết GPO tới OU/Domain. Khi sửa GPO, mã độc thực thi với quyền SYSTEM trên máy con. Điểm trừ: R = 3 vì phải chờ chu kỳ gpupdate (90-120 phút) hoặc trigger gpupdate /force."
AddKeyCredentialLink,Kerberos Abuse,2,4,4,5,1,3.05,Shadow Credentials via PKINIT (msDS-KeyCredentialLink),Ghi chứng chỉ công khai vào thuộc tính msDS-KeyCredentialLink của đối tượng để xác thực Kerberos PKINIT lấy TGT. Sinh Event 5136 rõ rệt nhưng độ tin cậy kỹ thuật rất cao.
HasSession,Credential Access,3,4,3,2,4,3.55,Token Impersonation / LSASS Memory Credential Dumping,"Chiếm quyền user có phiên đăng nhập trên máy. Cần quyền Local Admin trên máy. Khá ồn (LSASS access kích hoạt EDR/Sysmon 10), R=2 vì user có thể đăng xuất hoặc Credential Guard bật."
